Name,Height,Weight,Reach,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,WEIGHT_CLASS,RANK_NUM,WEIGHT_CODE,TOTAL,WINS,KO_TKO,SUB_WINS,DEC_WINS,LOSSES,DRAWS,AVG_TIME
Nassourdine Imavov,"6' 3""",185 lbs.,"75""",Orthodox,01-Mar-96,4.28,54%,3.17,58%,0.74,32%,81%,1,Middleweight,2,4,21,17,8,4,5,4,0,863
Sean Strickland,"6' 1""",185 lbs.,"76""",Orthodox,27-Feb-91,5.95,42%,4.57,60%,0.73,64%,76%,0.2,Middleweight,3,4,36,29,11,4,14,7,0,963
Reinier de Ridder,"6' 4""",185 lbs.,"78""",Southpaw,07-Sep-90,2.95,52%,2.44,50%,2.86,27%,66%,0.6,Middleweight,4,4,24,21,5,13,3,3,0,806
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,22-Jul-89,4.02,48%,3.2,55%,0.05,11%,76%,0.1,Middleweight,5,4,29,24,16,0,8,5,0,1029
Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,18-Oct-93,4.59,62%,2.53,49%,6.46,48%,68%,1.8,Middleweight,6,4,18,16,5,8,3,2,0,692
Caio Borralho,"6' 1""",185 lbs.,"75""",Southpaw,16-Jan-93,3.44,56%,2.5,60%,1.28,48%,76%,0.4,Middleweight,7,4,36,27,10,5,12,9,0,844
Robert Whittaker,"6' 0""",185 lbs.,"73""",Orthodox,20-Dec-90,4.39,43%,3.36,59%,0.73,38%,82%,0,Middleweight,8,4,20,17,4,4,9,2,1,929
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,28-Dec-95,3.85,53%,3.96,47%,1.65,41%,56%,1.2,Middleweight,9,4,27,24,13,3,8,3,0,713
Michael Page,"6' 3""",185 lbs.,"79""",Switch,07-Apr-87,2.39,60%,1.68,57%,0.23,16%,66%,0,Middleweight,10,4,27,18,12,2,4,9,0,980
Alex Pereira,"6' 4""",205 lbs.,"79""",Orthodox,07-Jul-87,5.16,62%,3.5,53%,0.11,50%,79%,0.2,Light Heavyweight,C,5,13,11,9,0,2,2,0,519
Jiri Prochazka,"6' 3""",205 lbs.,"80""",Orthodox,14-Oct-92,5.69,55%,5.6,45%,0.51,60%,68%,0.2,Light Heavyweight,1,5,38,32,29,3,0,5,1,664
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,02-Jun-92,3.65,52%,2.59,56%,0.79,22%,87%,0,Light Heavyweight,2,5,23,20,10,4,6,2,1,709
Carlos Ulberg,"6' 4""",205 lbs.,"77""",Orthodox,07-Nov-90,6.54,55%,4.04,51%,0.55,60%,85%,0.2,Light Heavyweight,3,5,13,12,7,1,4,1,0,447
Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,24-Feb-83,3.44,49%,3.03,52%,1.03,48%,69%,0.3,Light Heavyweight,4,5,41,29,9,9,11,11,1,791
Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,26-Feb-90,3.88,40%,4.33,49%,0,0%,58%,0.1,Light Heavyweight,5,5,23,14,9,0,5,7,1,584
Jamahal Hill,"6' 4""",205 lbs.,"79""",Southpaw,19-May-91,6.19,51%,4.03,44%,0,0%,73%,0,Light Heavyweight,6,5,16,12,7,0,5,4,0,622
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,06-Feb-92,4.16,50%,2.91,51%,0.66,23%,85%,0.1,Light Heavyweight,7,5,19,14,9,1,4,5,0,686
